vtkCompositeIndexArray,vtkOriginalIndices,x,y,z,u1,u2,u3,__vtkIsSelected__,p
2,0,0,0,0,0,0,0,0,4.28006E-06
2,1,0.005,0,0,0,0,0,0,-0.00290905
2,2,0.01,0,0,0,0,0,0,-0.00939109
2,3,0.015,0,0,0,0,0,0,-0.0156858
2,4,0.02,0,0,0,0,0,0,-0.0194205
2,5,0.025,0,0,0,0,0,0,-0.0193323
2,6,0.03,0,0,0,0,0,0,-0.0150033
2,7,0.035,0,0,0,0,0,0,-0.00662613
2,8,0.04,0,0,0,0,0,0,0.00517922
2,9,0.045,0,0,0,0,0,0,0.0194953
2,10,0.05,0,0,0,0,0,0,0.0351985
2,11,0.055,0,0,0,0,0,0,0.0510351
2,12,0.06,0,0,0,0,0,0,0.0657018
2,13,0.065,0,0,0,0,0,0,0.0779443
2,14,0.07,0,0,0,0,0,0,0.0866812
2,15,0.075,0,0,0,0,0,0,0.0911606
2,16,0.08,0,0,0,0,0,0,0.0911473
2,17,0.085,0,0,0,0,0,0,0.0871361
2,18,0.09,0,0,0,0,0,0,0.0805639
2,19,0.095,0,0,0,0,0,0,0.0739757
2,20,0.1,0,0,0,0,0,0,0.0710691
2,21,0,0.005,0,0,0,0,0,0.00289366
2,22,0.005,0.005,0,-0.00032362,0.000334111,0,0,-6.27242E-05
2,23,0.01,0.005,0,-0.00208512,0.00148456,0,0,-0.00619987
2,24,0.015,0.005,0,-0.00551761,0.00252548,0,0,-0.0116783
2,25,0.02,0.005,0,-0.0101177,0.00317725,0,0,-0.0147443
2,26,0.025,0.005,0,-0.0152854,0.00340279,0,0,-0.0144228
2,27,0.03,0.005,0,-0.0204362,0.00323794,0,0,-0.010351
2,28,0.035,0.005,0,-0.0250467,0.00274568,0,0,-0.00268584
2,29,0.04,0.005,0,-0.0286871,0.00199886,0,0,0.00803493
2,30,0.045,0.005,0,-0.0310356,0.00107347,0,0,0.0210022
2,31,0.05,0.005,0,-0.0318852,0.000048252,0,0,0.0352154
2,32,0.055,0.005,0,-0.0311504,-0.00099351,0,0,0.0495522
2,33,0.06,0.005,0,-0.0288753,-0.00196243,0,0,0.0628447
